state,expenditure,year,raw,inf_adj,inf_adj_perchild
Alaska,pell,1997,7574.933,10800.65234375,0.0548582263290882
Arizona,pell,1997,120449.842,171742.359375,0.131773084402084
Arkansas,pell,1997,65903.625,93968.109375,0.130800470709801
California,pell,1997,775291.674,1105442.875,0.115647509694099
Colorado,pell,1997,79003.771,112646.8359375,0.10382895171642301
Connecticut,pell,1997,36453.307,51976.62890625,0.0608098693192005
Delaware,pell,1997,9964.552,14207.869140625,0.0721574276685715
District of Columbia,pell,1997,18972.246,27051.41015625,0.212899297475815
Florida,pell,1997,318611.385,454289.25,0.123405106365681
Georgia,pell,1997,152763.85,217817,0.101558461785316
Hawaii,pell,1997,16001.057,22814.966796875,0.0703293010592461
Idaho,pell,1997,34692.564,49466.08984375,0.13017837703228
Illinois,pell,1997,221041.939,315170.71875,0.0929444208741188
Indiana,pell,1997,110813.499,158002.453125,0.0970305129885674
Iowa,pell,1997,70263.011,100183.8984375,0.129268705844879
Kansas,pell,1997,60931.477,86878.6171875,0.116923987865448
Kentucky,pell,1997,103264.164,147238.3125,0.138845652341843
Louisiana,pell,1997,140856.025,200838.328125,0.153167307376862
Maine,pell,1997,24058.416,34303.48046875,0.10644692927599
Maryland,pell,1997,85095.66,121332.90625,0.0876616314053535
Massachusetts,pell,1997,115524.753,164719.953125,0.105871699750423
Michigan,pell,1997,169971.609,242352.53125,0.0890069678425789
Minnesota,pell,1997,93004.001,132608.9375,0.0994703769683838
Mississippi,pell,1997,96534.401,137642.734375,0.167636811733246
Missouri,pell,1997,117568.854,167634.515625,0.111887700855732
Montana,pell,1997,27872.788,39742.171875,0.161120608448982
Nebraska,pell,1997,38363.734,54700.59375,0.115075320005417
Nevada,pell,1997,16272.475,23201.966796875,0.0499223619699478
New Hampshire,pell,1997,17869.315,25478.806640625,0.080038972198963207
New Jersey,pell,1997,130747.174,186424.71875,0.087638832628727
New Mexico,pell,1997,52157.443,74368.234375,0.137316405773163
New York,pell,1997,604588.504,862047.25,0.175416052341461
North Carolina,pell,1997,138106.684,196918.203125,0.10022410005331
North Dakota,pell,1997,21801.188,31085.033203125,0.174662485718727
Ohio,pell,1997,216774.138,309085.5,0.101115360856056
Oklahoma,pell,1997,96770.016,137978.6875,0.146115258336067
Oregon,pell,1997,58823.064,83872.3515625,0.0956685766577721
Pennsylvania,pell,1997,241590.359,344469.5,0.110870592296124
Rhode Island,pell,1997,26291.801,37487.93359375,0.146109059453011
South Carolina,pell,1997,82226.534,117241.984375,0.110713019967079
South Dakota,pell,1997,22471.422,32040.6796875,0.146928414702415
Tennessee,pell,1997,113308.461,161559.875,0.112488627433777
Texas,pell,1997,439754.371,627019.9375,0.105376079678535
Utah,pell,1997,59940.569,85465.734375,0.114727884531021
Vermont,pell,1997,13915.848,19841.791015625,0.125320002436638
Virginia,pell,1997,134515.903,191798.328125,0.108150020241737
Washington,pell,1997,113187.841,161387.890625,0.104027055203915
West Virginia,pell,1997,51247.879,73071.34375,0.163998514413834
Wisconsin,pell,1997,79846.835,113848.9140625,0.079238660633564
Wyoming,pell,1997,12136.136,17304.203125,0.12147306650877
Alabama,HeadStartPriv,1997,55777.4890083075,79529.84375,0.066985584795475
Alaska,HeadStartPriv,1997,7581,10809.302734375,0.0549021624028683
Arizona,HeadStartPriv,1997,40668.1677803993,57986.3515625,0.0444912947714329
Arkansas,HeadStartPriv,1997,34294.7627727985,48898.88671875,0.0680656209588051
California,HeadStartPriv,1997,308907.191230416,440452.625,0.0460785925388336
Colorado,HeadStartPriv,1997,289154.205919504,412288,0.380014508962631
Connecticut,HeadStartPriv,1997,26573.5472309589,37889.66015625,0.0443288721144199
Delaware,HeadStartPriv,1997,8314,11854.4443359375,0.0602050982415676
District of Columbia,HeadStartPriv,1997,7185.23961469531,10245.0107421875,0.0806300118565559
Florida,HeadStartPriv,1997,94409.9695957303,134613.625,0.0365670323371887
Georgia,HeadStartPriv,1997,90012.832274735,128344.0078125,0.0598411485552788
Hawaii,HeadStartPriv,1997,12632,18011.2265625,0.0555213168263435
