state,expenditure,year,raw,inf_adj,inf_adj_perchild
Idaho,pell,1997,34692.564,49466.08984,0.130178377
Illinois,pell,1997,221041.939,315170.7188,0.092944421
Indiana,pell,1997,110813.499,158002.4531,0.097030513
Iowa,pell,1997,70263.011,100183.8984,0.129268706
Kansas,pell,1997,60931.477,86878.61719,0.116923988
Kentucky,pell,1997,103264.164,147238.3125,0.138845652
Louisiana,pell,1997,140856.025,200838.3281,0.153167307
Maine,pell,1997,24058.416,34303.48047,0.106446929
Maryland,pell,1997,85095.66,121332.9063,0.087661631
Massachusetts,pell,1997,115524.753,164719.9531,0.1058717
Michigan,pell,1997,169971.609,242352.5313,0.089006968
Minnesota,pell,1997,93004.001,132608.9375,0.099470377
Mississippi,pell,1997,96534.401,137642.7344,0.167636812
Missouri,pell,1997,117568.854,167634.5156,0.111887701
Montana,pell,1997,27872.788,39742.17188,0.161120608
Nebraska,pell,1997,38363.734,54700.59375,0.11507532
Nevada,pell,1997,16272.475,23201.9668,0.049922362
New Hampshire,pell,1997,17869.315,25478.80664,0.080038972
New Jersey,pell,1997,130747.174,186424.7188,0.087638833
New Mexico,pell,1997,52157.443,74368.23438,0.137316406
New York,pell,1997,604588.504,862047.25,0.175416052
North Carolina,pell,1997,138106.684,196918.2031,0.1002241
North Dakota,pell,1997,21801.188,31085.0332,0.174662486
Ohio,pell,1997,216774.138,309085.5,0.101115361
Oklahoma,pell,1997,96770.016,137978.6875,0.146115258
Oregon,pell,1997,58823.064,83872.35156,0.095668577
Pennsylvania,pell,1997,241590.359,344469.5,0.110870592
Rhode Island,pell,1997,26291.801,37487.93359,0.146109059
South Carolina,pell,1997,82226.534,117241.9844,0.11071302
South Dakota,pell,1997,22471.422,32040.67969,0.146928415
Tennessee,pell,1997,113308.461,161559.875,0.112488627
Texas,pell,1997,439754.371,627019.9375,0.10537608
Utah,pell,1997,59940.569,85465.73438,0.114727885
Vermont,pell,1997,13915.848,19841.79102,0.125320002
Virginia,pell,1997,134515.903,191798.3281,0.10815002
Washington,pell,1997,113187.841,161387.8906,0.104027055
West Virginia,pell,1997,51247.879,73071.34375,0.163998514
Wisconsin,pell,1997,79846.835,113848.9141,0.079238661
Wyoming,pell,1997,12136.136,17304.20313,0.121473067
Alabama,HeadStartPriv,1997,55777.48901,79529.84375,0.066985585
Alaska,HeadStartPriv,1997,7581,10809.30273,0.054902162
