state,variable,year,raw
Indiana,PK12ed,2004,7600746
Iowa,PK12ed,2004,3571774
Kansas,PK12ed,2004,3299811
Kentucky,PK12ed,2004,3951198
Louisiana,PK12ed,2004,5199929
Maine,PK12ed,2004,1809793
Maryland,PK12ed,2004,7300494
Massachusetts,PK12ed,2004,9542846
Michigan,PK12ed,2004,15763789
Minnesota,PK12ed,2004,6782343
Mississippi,PK12ed,2004,2980556
Missouri,PK12ed,2004,6518327
Montana,PK12ed,2004,1107728
Nebraska,PK12ed,2004,2180013
Nevada,PK12ed,2004,2375080
New Hampshire,PK12ed,2004,1811670
New Jersey,PK12ed,2004,17134760
New Mexico,PK12ed,2004,2348243
New York,PK12ed,2004,36769644
North Carolina,PK12ed,2004,8801139
North Dakota,PK12ed,2004,750618
Ohio,PK12ed,2004,15756618
Oklahoma,PK12ed,2004,3746110
Oregon,PK12ed,2004,4079037
Pennsylvania,PK12ed,2004,17466932
Rhode Island,PK12ed,2004,1744388
South Carolina,PK12ed,2004,4896912
South Dakota,PK12ed,2004,830657
Tennessee,PK12ed,2004,5692325
Texas,PK12ed,2004,28971800
Utah,PK12ed,2004,2451399
Vermont,PK12ed,2004,1057435
Virginia,PK12ed,2004,9685984
Washington,PK12ed,2004,7150180
West Virginia,PK12ed,2004,2194153
Wisconsin,PK12ed,2004,7942653
Wyoming,PK12ed,2004,801871
Alabama,PK12ed,2005,4925201
Alaska,PK12ed,2005,1416771
Arizona,PK12ed,2005,5872686
Arkansas,PK12ed,2005,3300288
California,PK12ed,2005,50693044
Colorado,PK12ed,2005,5658056
Connecticut,PK12ed,2005,6130530
Delaware,PK12ed,2005,1264790
District of Columbia,PK12ed,2005,1213739
Florida,PK12ed,2005,18583868
Georgia,PK12ed,2005,11887844
Hawaii,PK12ed,2005,1606142
Idaho,PK12ed,2005,1566165
Illinois,PK12ed,2005,17235426
Indiana,PK12ed,2005,8224193
Iowa,PK12ed,2005,3713885
Kansas,PK12ed,2005,3384564
Kentucky,PK12ed,2005,4443409
Louisiana,PK12ed,2005,5458673
Maine,PK12ed,2005,1879024
Maryland,PK12ed,2005,7737234
Massachusetts,PK12ed,2005,9987028
Michigan,PK12ed,2005,16087552
Minnesota,PK12ed,2005,7050447
Mississippi,PK12ed,2005,3157474
Missouri,PK12ed,2005,6767931
Montana,PK12ed,2005,1137483
Nebraska,PK12ed,2005,2220440
Nevada,PK12ed,2005,2597225
New Hampshire,PK12ed,2005,1919328
New Jersey,PK12ed,2005,18241340
New Mexico,PK12ed,2005,2452460
New York,PK12ed,2005,38690928
North Carolina,PK12ed,2005,9588902
North Dakota,PK12ed,2005,783018
Ohio,PK12ed,2005,16191503
Oklahoma,PK12ed,2005,4058244
Oregon,PK12ed,2005,4383735
Pennsylvania,PK12ed,2005,18456568
Rhode Island,PK12ed,2005,1790949
South Carolina,PK12ed,2005,5218073
South Dakota,PK12ed,2005,864226
Tennessee,PK12ed,2005,6063977
Texas,PK12ed,2005,29750650
Utah,PK12ed,2005,2576762
Vermont,PK12ed,2005,1119431
Virginia,PK12ed,2005,10574982
Washington,PK12ed,2005,7455318
West Virginia,PK12ed,2005,2272984
Wisconsin,PK12ed,2005,8246826
Wyoming,PK12ed,2005,849527
Alabama,PK12ed,2006,5478034
Alaska,PK12ed,2006,1509377
Arizona,PK12ed,2006,6367593
Arkansas,PK12ed,2006,3533593
California,PK12ed,2006,53012464
Colorado,PK12ed,2006,6030663
Connecticut,PK12ed,2006,6540369
Delaware,PK12ed,2006,1371464
District of Columbia,PK12ed,2006,1249522
Florida,PK12ed,2006,20139820
Georgia,PK12ed,2006,12954745
Hawaii,PK12ed,2006,1746947
Idaho,PK12ed,2006,1630908
Illinois,PK12ed,2006,18157336
Indiana,PK12ed,2006,8282807
Iowa,PK12ed,2006,3912787
Kansas,PK12ed,2006,3638783
Kentucky,PK12ed,2006,4833044
Louisiana,PK12ed,2006,5452463
Maine,PK12ed,2006,1967346
Maryland,PK12ed,2006,8381601
Massachusetts,PK12ed,2006,10433393
Michigan,PK12ed,2006,14954186
Minnesota,PK12ed,2006,7398479
Mississippi,PK12ed,2006,3435402
Missouri,PK12ed,2006,7186329
Montana,PK12ed,2006,1197600
Nebraska,PK12ed,2006,2316795
Nevada,PK12ed,2006,2925532
New Hampshire,PK12ed,2006,2032198
New Jersey,PK12ed,2006,19325792
New Mexico,PK12ed,2006,2617114
New York,PK12ed,2006,41066200
North Carolina,PK12ed,2006,10102342
North Dakota,PK12ed,2006,811025
Ohio,PK12ed,2006,16757651
Oklahoma,PK12ed,2006,4282014
Oregon,PK12ed,2006,4654732
Pennsylvania,PK12ed,2006,19235692
Rhode Island,PK12ed,2006,1857004
South Carolina,PK12ed,2006,5571889
South Dakota,PK12ed,2006,895339
Tennessee,PK12ed,2006,6323037
Texas,PK12ed,2006,31446936
Utah,PK12ed,2006,2708136
Vermont,PK12ed,2006,1161429
Virginia,PK12ed,2006,11498811
Washington,PK12ed,2006,7794498
West Virginia,PK12ed,2006,2381525
Wisconsin,PK12ed,2006,8534939
Wyoming,PK12ed,2006,951412
Alabama,PK12ed,2007,6104470
Alaska,PK12ed,2007,1609832
Arizona,PK12ed,2007,6826134
Arkansas,PK12ed,2007,3719097
California,PK12ed,2007,57258252
Colorado,PK12ed,2007,6187463
Connecticut,PK12ed,2007,6895387
Delaware,PK12ed,2007,1357426
District of Columbia,PK12ed,2007,1236068
Florida,PK12ed,2007,22079984
Georgia,PK12ed,2007,14178057
Hawaii,PK12ed,2007,1943393
Idaho,PK12ed,2007,1705158
Illinois,PK12ed,2007,18891452
Indiana,PK12ed,2007,8568446
Iowa,PK12ed,2007,4098511
Kansas,PK12ed,2007,3934630
Kentucky,PK12ed,2007,4989921
Louisiana,PK12ed,2007,5949912
Maine,PK12ed,2007,2050166
Maryland,PK12ed,2007,9236350
Massachusetts,PK12ed,2007,10879368
Michigan,PK12ed,2007,16732409
Minnesota,PK12ed,2007,7737171
Mississippi,PK12ed,2007,3549106
Missouri,PK12ed,2007,7601036
Montana,PK12ed,2007,1273267
Nebraska,PK12ed,2007,2523255
Nevada,PK12ed,2007,3273910
New Hampshire,PK12ed,2007,2133699
New Jersey,PK12ed,2007,19983800
New Mexico,PK12ed,2007,2784315
New York,PK12ed,2007,43296916
North Carolina,PK12ed,2007,11065512
North Dakota,PK12ed,2007,835479
Ohio,PK12ed,2007,17069126
Oklahoma,PK12ed,2007,4616253
Oregon,PK12ed,2007,4930540
Pennsylvania,PK12ed,2007,19927258
Rhode Island,PK12ed,2007,1993397
South Carolina,PK12ed,2007,5957589
South Dakota,PK12ed,2007,924199
Tennessee,PK12ed,2007,6650273
Texas,PK12ed,2007,33434484
Utah,PK12ed,2007,2874111
Vermont,PK12ed,2007,1220275
Virginia,PK12ed,2007,12374144
Washington,PK12ed,2007,8302955
West Virginia,PK12ed,2007,2461132
Wisconsin,PK12ed,2007,8805031
Wyoming,PK12ed,2007,1114282
Alabama,PK12ed,2008,6671430
Alaska,PK12ed,2008,1897947
Arizona,PK12ed,2008,7367909
Arkansas,PK12ed,2008,3846131
California,PK12ed,2008,60096496
Colorado,PK12ed,2008,6887556
Connecticut,PK12ed,2008,7258782
Delaware,PK12ed,2008,1459954
District of Columbia,PK12ed,2008,1631698
Florida,PK12ed,2008,23140320
Georgia,PK12ed,2008,15370791
Hawaii,PK12ed,2008,2038935
Idaho,PK12ed,2008,1797045
Illinois,PK12ed,2008,19890084
Indiana,PK12ed,2008,8375804
Iowa,PK12ed,2008,4353930
Kansas,PK12ed,2008,4207480
Kentucky,PK12ed,2008,5433566
Louisiana,PK12ed,2008,6668491
Maine,PK12ed,2008,2113600
Maryland,PK12ed,2008,10003181
Massachusetts,PK12ed,2008,11541685
Michigan,PK12ed,2008,16103959
Minnesota,PK12ed,2008,8105561
Mississippi,PK12ed,2008,3735613
