school,public_private,overall_score,peer_assessment_score,graduation_and_retention_rank,average_first_year_retention_rate,predicted_graduation_rate,actual_graduation_rate,over_underperformance,pell_gradrate,social_mobility_rank,faculty_resources_rank,percent_of_classes_under_20,percent_of_classes_of_50_or_more_students,student_faculty_ratio,selectivity_rank,sat_act_25th_percentile,sat_act_75th_percentile,first_year_students_in_top_10_percent_of_high_school_class,acceptance_rate,financial_resources_rank,average_alumni_giving_rate
Kent State University (OH),public,35,2.6,230,81,53,57,4,48,204,147,52,9,20,245,20,25,15,85,315,4
Mississippi State University,public,35,2.7,215,80,66,58,-8,42,335,300,37,15,17,125,22,29,29,57,174,15
University of Hartford (CT),private,35,2.5,230,75,58,60,2,50,265,77,71,0.2,9,318,1050,1250,NA,75,211,3
Wilkes University (PA),private,35,2,219,76,56,60,4,51,138,85,58,4,12,234,1050,1240,23,75,231,13
Clarke University (IA),private,34,2.1,226,73,59,63,4,62,62,120,70,0.4,9,342,19,23,17,82,276,15
Florida International University,public,34,2.5,203,89,50,58,8,61,12,374,19,26,24,190,1090,1260,25,59,294,3
Gannon University (PA),private,34,2,167,83,61,67,6,54,159,182,49,0.4,13,295,1020,1220,20,81,244,7
Hampton University (VA),private,34,2.4,230,77,60,58,-2,53,34,271,60,3,13,344,19,24,13,36,140,17
Lipscomb University (TN),private,34,2.1,209,82,68,65,-3,55,328,210,55,5,13,134,22,29,30,60,174,12
Sacred Heart University (CT),private,34,2.4,167,83,66,70,4,60,335,290,37,1,13,307,1100,1240,11,60,211,9
Texas Tech University,public,34,2.9,203,84,61,60,-1,51,291,351,27,21,20,190,1070,1240,19,71,294,11
Univ. of Massachusetts--Dartmouth,public,34,2.6,292,73,53,56,3,50,84,95,51,10,16,330,990,1190,14,78,183,2
University of New Mexico,public,34,2.8,292,78,57,49,-8,45,62,169,60,9,17,336,19,25,NA,52,49,NA
Western New England University (MA),private,34,2,226,77,60,60,NA,53,234,48,57,0.1,13,215,1060,1250,19,85,174,4
